code,channel,axis_label,axis_value,decoder,ler_mean,ler_lo,ler_hi,n_shots,seed
R14-7a/seed0,b,eta,0.94,map,0.165,0.148,0.1805,2000,200940
R14-7a/seed0,b,eta,0.95,map,0.071,0.06,0.084,2000,200950
R14-7a/seed0,b,eta,0.96,map,0.0175,0.012,0.0235,2000,200960
R14-7a/seed1,b,eta,0.94,map,0.178,0.1605,0.193,2000,200940
R14-7a/seed1,b,eta,0.95,map,0.064,0.0535,0.075,2000,200950
R14-7a/seed1,b,eta,0.96,map,0.0165,0.011,0.0225,2000,200960
R14-7a/seed2,b,eta,0.94,map,0.1825,0.1655,0.198,2000,200940
R14-7a/seed2,b,eta,0.95,map,0.065,0.05348750000000001,0.07601249999999998,2000,200950
R14-7a/seed2,b,eta,0.96,map,0.017,0.0115,0.023,2000,200960
R14-7b/seed0,b,eta,0.94,map,0.1725,0.1574875,0.1885125,2000,200940
R14-7b/seed0,b,eta,0.95,map,0.076,0.065,0.0875,2000,200950
R14-7b/seed0,b,eta,0.96,map,0.011,0.0065,0.016,2000,200960
R14-7b/seed1,b,eta,0.94,map,0.1735,0.1574875,0.19,2000,200940
R14-7b/seed1,b,eta,0.95,map,0.067,0.056,0.0775,2000,200950
R14-7b/seed1,b,eta,0.96,map,0.0155,0.0105,0.021,2000,200960
R14-7b/seed2,b,eta,0.94,map,0.1725,0.155,0.188,2000,200940
R14-7b/seed2,b,eta,0.95,map,0.0715,0.06,0.0825,2000,200950
R14-7b/seed2,b,eta,0.96,map,0.016,0.011,0.0215,2000,200960
