code,channel,axis_label,axis_value,ler_mean,ler_lo,ler_hi,n_shots,seed
R12-a2a,a_pauli_twirl,alpha,1.0,0.0,0.0,0.0,2000,0
R12-a2a,a_pauli_twirl,alpha,5.0,0.0,0.0,0.0,2000,0
R12-a2a,a_pauli_twirl,alpha,20.0,0.0,0.0,0.0,2000,0
R12-a2a,a_pauli_twirl,alpha,100.0,0.0,0.0,0.0,2000,0
R12-a2a,b_kraus_phase,eta,0.94,0.505,0.4829875,0.527,2000,0
R12-a2a,b_kraus_phase,eta,0.95,0.2865,0.26598750000000004,0.3065,2000,0
R12-a2a,b_kraus_phase,eta,0.96,0.086,0.0735,0.0985,2000,0
R12-a2a,b_kraus_phase,eta,0.97,0.0085,0.005,0.0125,2000,0
R12-a2a,b_kraus_phase,eta,0.98,0.0,0.0,0.0,2000,0
R12-a2a,c_uniform_depol,p,0.25,0.012,0.007,0.017,2000,0
R12-a2a,c_uniform_depol,p,0.3,0.0295,0.02248750000000001,0.038,2000,0
R12-a2a,c_uniform_depol,p,0.4,0.094,0.0795,0.1075,2000,0
R12-a2a,c_uniform_depol,p,0.5,0.1935,0.177,0.2105125,2000,0
R14-3a/seed0,a_pauli_twirl,alpha,1.0,0.0,0.0,0.0,2000,0
R14-3a/seed0,a_pauli_twirl,alpha,5.0,0.0,0.0,0.0,2000,0
R14-3a/seed0,a_pauli_twirl,alpha,20.0,0.0,0.0,0.0,2000,0
R14-3a/seed0,a_pauli_twirl,alpha,100.0,0.0,0.0,0.0,2000,0
R14-3a/seed0,b_kraus_phase,eta,0.94,0.4945,0.473975,0.5160125,2000,0
R14-3a/seed0,b_kraus_phase,eta,0.95,0.2945,0.2745,0.3145125,2000,0
R14-3a/seed0,b_kraus_phase,eta,0.96,0.0895,0.0765,0.1025,2000,0
R14-3a/seed0,b_kraus_phase,eta,0.97,0.007,0.004,0.011,2000,0
R14-3a/seed0,b_kraus_phase,eta,0.98,0.0,0.0,0.0,2000,0
R14-3a/seed0,c_uniform_depol,p,0.25,0.0155,0.009987500000000012,0.021,2000,0
R14-3a/seed0,c_uniform_depol,p,0.3,0.023,0.017487500000000013,0.03,2000,0
R14-3a/seed0,c_uniform_depol,p,0.4,0.0875,0.07548750000000001,0.1,2000,0
R14-3a/seed0,c_uniform_depol,p,0.5,0.1715,0.155,0.188,2000,0
R14-3a/seed1,a_pauli_twirl,alpha,1.0,0.0,0.0,0.0,2000,0
R14-3a/seed1,a_pauli_twirl,alpha,5.0,0.0,0.0,0.0,2000,0
R14-3a/seed1,a_pauli_twirl,alpha,20.0,0.0,0.0,0.0,2000,0
R14-3a/seed1,a_pauli_twirl,alpha,100.0,0.0,0.0,0.0,2000,0
R14-3a/seed1,b_kraus_phase,eta,0.94,0.4735,0.4505,0.4945,2000,0
R14-3a/seed1,b_kraus_phase,eta,0.95,0.3055,0.2865,0.3270125,2000,0
R14-3a/seed1,b_kraus_phase,eta,0.96,0.083,0.071,0.095,2000,0
R14-3a/seed1,b_kraus_phase,eta,0.97,0.0065,0.0035,0.0105,2000,0
R14-3a/seed1,b_kraus_phase,eta,0.98,0.0,0.0,0.0,2000,0
R14-3a/seed1,c_uniform_depol,p,0.25,0.017,0.0115,0.0225,2000,0
R14-3a/seed1,c_uniform_depol,p,0.3,0.031,0.0235,0.03851249999999999,2000,0
R14-3a/seed1,c_uniform_depol,p,0.4,0.096,0.0825,0.10851249999999998,2000,0
R14-3a/seed1,c_uniform_depol,p,0.5,0.182,0.1655,0.2000125,2000,0
R14-3a/seed2,a_pauli_twirl,alpha,1.0,0.0,0.0,0.0,2000,0
R14-3a/seed2,a_pauli_twirl,alpha,5.0,0.0,0.0,0.0,2000,0
R14-3a/seed2,a_pauli_twirl,alpha,20.0,0.0,0.0,0.0,2000,0
R14-3a/seed2,a_pauli_twirl,alpha,100.0,0.0,0.0,0.0,2000,0
R14-3a/seed2,b_kraus_phase,eta,0.94,0.502,0.4789875,0.5235,2000,0
R14-3a/seed2,b_kraus_phase,eta,0.95,0.293,0.2725,0.31251249999999997,2000,0
R14-3a/seed2,b_kraus_phase,eta,0.96,0.0945,0.081,0.108,2000,0
R14-3a/seed2,b_kraus_phase,eta,0.97,0.0085,0.005,0.013,2000,0
R14-3a/seed2,b_kraus_phase,eta,0.98,0.0,0.0,0.0,2000,0
R14-3a/seed2,c_uniform_depol,p,0.25,0.0105,0.0065,0.015,2000,0
R14-3a/seed2,c_uniform_depol,p,0.3,0.026,0.019,0.0335,2000,0
R14-3a/seed2,c_uniform_depol,p,0.4,0.0905,0.079,0.103,2000,0
R14-3a/seed2,c_uniform_depol,p,0.5,0.1745,0.1585,0.191,2000,0
